timestamp,dublin_time,time_period,frame_number,person_count,background_person_count,vehicle_count,bicycle_count,umbrella_count,total_objects,crowd_level,waving_count,photo_taking_count,safety_status,choke_point_count,grid_max_density,baseline_count,active_alerts,grid_density_json,fps
2026-04-03T15:31:28.334400+01:00,15:31:28,Afternoon,96,12,7,0,0,0,12,NORMAL,0,1,NORMAL,0,3,13.4,,"[[0, 0, 0, 0, 0], [2, 3, 1, 1, 0], [0, 2, 0, 2, 1]]",3.0
2026-04-03T15:31:28.885881+01:00,15:31:28,Afternoon,98,12,7,0,0,0,12,NORMAL,0,1,NORMAL,0,3,13.4,,"[[0, 0, 0, 0, 0], [2, 3, 1, 1, 0], [0, 2, 0, 2, 1]]",3.0
2026-04-03T15:31:29.419871+01:00,15:31:29,Afternoon,100,12,7,0,0,0,12,NORMAL,0,1,NORMAL,0,3,13.6,,"[[0, 0, 0, 0, 0], [2, 3, 1, 1, 0], [0, 2, 0, 2, 1]]",3.2
2026-04-03T15:31:29.961005+01:00,15:31:29,Afternoon,102,12,7,0,0,0,12,NORMAL,0,0,NORMAL,0,3,13.6,,"[[0, 0, 0, 0, 0], [2, 3, 1, 1, 0], [0, 2, 0, 2, 1]]",3.2
2026-04-03T15:31:30.479977+01:00,15:31:30,Afternoon,104,12,7,0,0,0,12,NORMAL,0,0,NORMAL,0,3,13.7,,"[[0, 0, 0, 0, 0], [2, 3, 1, 1, 0], [0, 2, 0, 2, 1]]",3.7
2026-04-03T15:31:31.008944+01:00,15:31:31,Afternoon,106,12,7,0,0,0,12,NORMAL,0,0,NORMAL,0,3,13.7,,"[[0, 0, 0, 0, 0], [2, 3, 1, 1, 0], [0, 2, 0, 2, 1]]",3.7
2026-04-03T15:31:31.561721+01:00,15:31:31,Afternoon,108,12,7,0,0,0,12,NORMAL,0,0,NORMAL,0,3,13.3,,"[[0, 0, 0, 0, 0], [2, 3, 1, 1, 0], [0, 2, 0, 2, 1]]",3.8
2026-04-03T15:31:32.084206+01:00,15:31:32,Afternoon,110,13,5,0,0,0,14,NORMAL,0,0,NORMAL,0,3,13.3,,"[[0, 0, 0, 0, 0], [2, 3, 1, 1, 0], [0, 2, 0, 2, 1]]",3.8
2026-04-03T15:31:32.611815+01:00,15:31:32,Afternoon,112,13,5,0,0,0,14,NORMAL,0,0,WARNING,2,4,13.1,CHOKE_POINT;CHOKE_POINT,"[[0, 0, 0, 0, 0], [0, 4, 1, 1, 0], [0, 2, 1, 4, 0]]",3.7
2026-04-03T15:31:33.138056+01:00,15:31:33,Afternoon,114,13,5,0,0,0,14,NORMAL,0,0,WARNING,2,4,13.1,CHOKE_POINT;CHOKE_POINT,"[[0, 0, 0, 0, 0], [0, 4, 1, 1, 0], [0, 2, 1, 4, 0]]",3.7
2026-04-03T15:31:33.658661+01:00,15:31:33,Afternoon,116,13,5,0,0,0,14,NORMAL,0,0,NORMAL,2,4,12.9,,"[[0, 0, 0, 0, 0], [0, 4, 1, 1, 0], [0, 2, 1, 4, 0]]",3.8
2026-04-03T15:31:34.188852+01:00,15:31:34,Afternoon,118,13,5,0,0,0,14,NORMAL,0,0,NORMAL,2,4,12.9,,"[[0, 0, 0, 0, 0], [0, 4, 1, 1, 0], [0, 2, 1, 4, 0]]",3.8
2026-04-03T15:31:34.726432+01:00,15:31:34,Afternoon,120,13,5,0,0,0,14,NORMAL,0,0,NORMAL,2,4,12.7,,"[[0, 0, 0, 0, 0], [0, 4, 1, 1, 0], [0, 2, 1, 4, 0]]",3.8
2026-04-03T15:31:35.246153+01:00,15:31:35,Afternoon,122,13,5,0,0,0,14,NORMAL,0,0,NORMAL,2,4,12.7,,"[[0, 0, 0, 0, 0], [0, 4, 1, 1, 0], [0, 2, 1, 4, 0]]",3.8
2026-04-03T15:31:35.734566+01:00,15:31:35,Afternoon,124,13,5,0,0,0,14,NORMAL,0,0,NORMAL,2,4,12.4,,"[[0, 0, 0, 0, 0], [0, 4, 1, 1, 0], [0, 2, 1, 4, 0]]",3.8
2026-04-03T15:31:36.222027+01:00,15:31:36,Afternoon,126,13,5,0,0,0,14,NORMAL,0,0,NORMAL,2,4,12.4,,"[[0, 0, 0, 0, 0], [0, 4, 1, 1, 0], [0, 2, 1, 4, 0]]",3.8
2026-04-03T15:31:36.804835+01:00,15:31:36,Afternoon,128,13,5,0,0,0,14,NORMAL,0,0,NORMAL,2,4,12.5,,"[[0, 0, 0, 0, 0], [0, 4, 1, 1, 0], [0, 2, 1, 4, 0]]",3.8
2026-04-03T15:31:37.345862+01:00,15:31:37,Afternoon,130,17,10,0,0,0,17,CROWDED,0,0,NORMAL,2,4,12.5,,"[[0, 0, 0, 0, 0], [0, 4, 1, 1, 0], [0, 2, 1, 4, 0]]",3.8
2026-04-03T15:31:37.906243+01:00,15:31:37,Afternoon,132,17,10,0,0,0,17,CROWDED,0,0,NORMAL,1,8,13.0,,"[[0, 0, 0, 0, 0], [0, 8, 2, 1, 0], [0, 3, 0, 3, 0]]",3.8
2026-04-03T15:31:38.460265+01:00,15:31:38,Afternoon,134,17,10,0,0,0,17,CROWDED,0,0,NORMAL,1,8,13.0,,"[[0, 0, 0, 0, 0], [0, 8, 2, 1, 0], [0, 3, 0, 3, 0]]",3.6
2026-04-03T15:31:39.017569+01:00,15:31:39,Afternoon,136,17,10,0,0,0,17,CROWDED,0,0,NORMAL,1,8,13.5,,"[[0, 0, 0, 0, 0], [0, 8, 2, 1, 0], [0, 3, 0, 3, 0]]",3.6
2026-04-03T15:31:39.576322+01:00,15:31:39,Afternoon,138,17,10,0,0,0,17,CROWDED,0,0,NORMAL,1,8,13.5,,"[[0, 0, 0, 0, 0], [0, 8, 2, 1, 0], [0, 3, 0, 3, 0]]",3.6
2026-04-03T15:31:40.073642+01:00,15:31:40,Afternoon,140,17,10,0,0,0,17,CROWDED,0,0,CRITICAL,1,8,14.0,GATHERING,"[[0, 0, 0, 0, 0], [0, 8, 2, 1, 0], [0, 3, 0, 3, 0]]",3.6
2026-04-03T15:31:40.615994+01:00,15:31:40,Afternoon,142,17,10,0,0,0,17,CROWDED,0,0,CRITICAL,1,8,14.0,GATHERING,"[[0, 0, 0, 0, 0], [0, 8, 2, 1, 0], [0, 3, 0, 3, 0]]",3.8
2026-04-03T15:31:41.127217+01:00,15:31:41,Afternoon,144,17,10,0,0,0,17,CROWDED,0,0,CRITICAL,1,8,14.5,GATHERING,"[[0, 0, 0, 0, 0], [0, 8, 2, 1, 0], [0, 3, 0, 3, 0]]",3.8
2026-04-03T15:31:41.672509+01:00,15:31:41,Afternoon,146,17,10,0,0,0,17,CROWDED,0,0,CRITICAL,1,8,14.5,GATHERING,"[[0, 0, 0, 0, 0], [0, 8, 2, 1, 0], [0, 3, 0, 3, 0]]",3.8
2026-04-03T15:31:42.229479+01:00,15:31:42,Afternoon,148,17,10,0,0,0,17,CROWDED,0,0,CRITICAL,1,8,15.0,GATHERING,"[[0, 0, 0, 0, 0], [0, 8, 2, 1, 0], [0, 3, 0, 3, 0]]",3.8
2026-04-03T15:31:42.779339+01:00,15:31:42,Afternoon,150,14,8,0,0,0,15,NORMAL,0,0,CRITICAL,1,8,15.0,GATHERING,"[[0, 0, 0, 0, 0], [0, 8, 2, 1, 0], [0, 3, 0, 3, 0]]",3.7
2026-04-03T15:31:43.322897+01:00,15:31:43,Afternoon,152,14,8,0,0,0,15,NORMAL,0,0,CRITICAL,2,6,15.1,GATHERING;CHOKE_POINT,"[[0, 0, 0, 0, 0], [0, 6, 1, 1, 0], [0, 2, 4, 0, 0]]",3.7
2026-04-03T15:31:43.867717+01:00,15:31:43,Afternoon,154,14,8,0,0,0,15,NORMAL,0,0,CRITICAL,2,6,15.1,GATHERING;CHOKE_POINT,"[[0, 0, 0, 0, 0], [0, 6, 1, 1, 0], [0, 2, 4, 0, 0]]",3.7
2026-04-03T15:31:44.411648+01:00,15:31:44,Afternoon,156,14,8,0,0,0,15,NORMAL,0,0,CRITICAL,2,6,15.2,GATHERING,"[[0, 0, 0, 0, 0], [0, 6, 1, 1, 0], [0, 2, 4, 0, 0]]",3.7
2026-04-03T15:31:44.938813+01:00,15:31:44,Afternoon,158,14,8,0,0,0,15,NORMAL,0,0,CRITICAL,2,6,15.2,GATHERING,"[[0, 0, 0, 0, 0], [0, 6, 1, 1, 0], [0, 2, 4, 0, 0]]",3.6
2026-04-03T15:31:45.444220+01:00,15:31:45,Afternoon,160,14,8,0,0,0,15,NORMAL,0,0,CRITICAL,2,6,15.3,GATHERING,"[[0, 0, 0, 0, 0], [0, 6, 1, 1, 0], [0, 2, 4, 0, 0]]",3.6
2026-04-03T15:31:46.001282+01:00,15:31:46,Afternoon,162,14,8,0,0,0,15,NORMAL,0,0,CRITICAL,2,6,15.3,GATHERING,"[[0, 0, 0, 0, 0], [0, 6, 1, 1, 0], [0, 2, 4, 0, 0]]",3.9
2026-04-03T15:31:46.531409+01:00,15:31:46,Afternoon,164,14,8,0,0,0,15,NORMAL,0,0,CRITICAL,2,6,15.4,GATHERING,"[[0, 0, 0, 0, 0], [0, 6, 1, 1, 0], [0, 2, 4, 0, 0]]",3.9
2026-04-03T15:31:47.052059+01:00,15:31:47,Afternoon,166,14,8,0,0,0,15,NORMAL,0,0,CRITICAL,2,6,15.4,GATHERING,"[[0, 0, 0, 0, 0], [0, 6, 1, 1, 0], [0, 2, 4, 0, 0]]",3.7
2026-04-03T15:31:47.629236+01:00,15:31:47,Afternoon,168,14,8,0,0,0,15,NORMAL,0,0,CRITICAL,2,6,15.5,GATHERING,"[[0, 0, 0, 0, 0], [0, 6, 1, 1, 0], [0, 2, 4, 0, 0]]",3.7
2026-04-03T15:31:48.136850+01:00,15:31:48,Afternoon,170,11,1,0,0,0,11,NORMAL,0,0,CRITICAL,2,6,15.5,GATHERING,"[[0, 0, 0, 0, 0], [0, 6, 1, 1, 0], [0, 2, 4, 0, 0]]",3.7
2026-04-03T15:31:48.645922+01:00,15:31:48,Afternoon,172,11,1,0,0,0,11,NORMAL,0,0,WARNING,1,4,14.9,CHOKE_POINT,"[[0, 0, 0, 0, 0], [0, 1, 0, 1, 0], [0, 4, 3, 2, 0]]",3.7
2026-04-03T15:31:49.152201+01:00,15:31:49,Afternoon,174,11,1,0,0,0,11,NORMAL,0,0,WARNING,1,4,14.9,CHOKE_POINT,"[[0, 0, 0, 0, 0], [0, 1, 0, 1, 0], [0, 4, 3, 2, 0]]",3.9
2026-04-03T15:31:49.605848+01:00,15:31:49,Afternoon,176,11,1,0,0,0,11,NORMAL,0,0,NORMAL,1,4,14.3,,"[[0, 0, 0, 0, 0], [0, 1, 0, 1, 0], [0, 4, 3, 2, 0]]",3.9
2026-04-03T15:31:50.117558+01:00,15:31:50,Afternoon,178,11,1,0,0,0,11,NORMAL,0,0,NORMAL,1,4,14.3,,"[[0, 0, 0, 0, 0], [0, 1, 0, 1, 0], [0, 4, 3, 2, 0]]",3.9
2026-04-03T15:31:50.624209+01:00,15:31:50,Afternoon,180,11,1,0,0,0,11,NORMAL,0,0,NORMAL,1,4,13.7,,"[[0, 0, 0, 0, 0], [0, 1, 0, 1, 0], [0, 4, 3, 2, 0]]",4.1
2026-04-03T15:31:51.123327+01:00,15:31:51,Afternoon,182,11,1,0,0,0,11,NORMAL,0,0,NORMAL,1,4,13.7,,"[[0, 0, 0, 0, 0], [0, 1, 0, 1, 0], [0, 4, 3, 2, 0]]",4.1
